permutation,size,time,throughput,iter,flops
ijk,100,30.000567,5.078200,5781,152348866656
ijk,200,30.008760,3.845919,531,115411244256
ijk,300,30.099370,3.594200,146,108183164096
ijk,400,30.337217,2.676636,46,81201692096
ijk,500,30.340078,2.849505,25,86454194400
ijk,600,31.831863,1.692942,9,53889492384
ikj,100,30.000668,14.657422,16686,439732431936
ikj,200,30.011507,12.673713,1750,380357208000
ikj,300,30.028794,11.967699,485,359375579360
ikj,400,30.004935,14.708032,250,441313544000
ikj,500,30.076531,14.027431,122,421896468672
ikj,600,30.269686,13.055623,66,395189610816
jik,100,30.002060,4.541253,5170,136246953920
jik,200,30.039957,2.951987,408,88677566208
jik,300,30.603134,1.137991,47,34826087072
jik,400,30.149401,0.761153,13,22948304288
jik,500,32.503951,0.638353,6,20749006656
jik,600,39.508980,0.606214,4,23950885504
jki,100,30.001140,4.988504,5679,149660822304
jki,200,30.056718,3.753007,519,112803080544
jki,300,30.293251,1.858979,76,56314523776
jki,400,30.976318,0.911795,16,28244066816
jki,500,33.378915,0.725224,7,24207174432
jki,600,36.434739,0.657364,4,23950885504
kij,100,30.001136,16.598484,18896,497973392896
kij,200,30.008924,16.651070,2299,499680697824
kij,300,30.020565,16.784054,680,503866791680
kij,400,30.103132,16.947023,289,510158456864
kij,500,30.126743,16.644160,145,501434327520
kij,600,30.321868,16.982596,86,514944038336
kji,100,30.002175,5.176306,5893,155300444768
kji,200,30.024428,4.408554,609,132364308384
kji,300,30.037393,3.823634,155,114851989280
kji,400,30.235083,4.203670,72,127098300672
kji,500,30.435291,3.863203,34,117577704384
kji,600,30.684733,3.902736,20,119754427520
